Week,Product_A_Quantity,Product_A_Price,Product_B_Price,Promotion_1,Promotion_2
1,70,7.50,7.00,0,0
2,75,7.30,7.15,0,0
3,75,7.25,7.15,0,0
4,78,7.25,7.15,0,0
5,100,6.50,7.20,1,0
6,120,6.50,7.20,1,0
7,95,6.50,7.25,1,0
8,115,6.50,7.25,1,0
9,78,7.05,7.25,0,0
10,85,7.05,7.25,0,1
11,88,7.05,7.30,0,1
12,84,7.05,7.30,0,1
13,90,7.05,7.30,0,1
14,86,7.05,7.40,0,0
15,95,7.00,7.40,0,0
16,88,7.00,7.40,0,0
17,105,6.90,7.40,0,0
18,100,6.90,7.45,0,1
19,108,6.90,7.45,0,1
20,95,6.90,7.50,0,1
21,98,6.90,7.50,0,1
22,130,6.45,7.50,1,0
23,125,6.45,7.70,1,0
24,133,6.45,7.75,1,0
25,128,6.45,8.00,1,0
26,131,6.45,8.00,1,0
